Publication Title	Publication reference	URL of Dataset	Clinical Trial ID	Country	Country code	Study design	Total number of subjects	Ethnicity	Existent variables	Exclusion criteria	Inclusion criteria	Demographic	Clinical variables	Laboratory variables	Comorbidities	Drugs	Imaging	Endpoint	Type of data
Comparison of SARS-CoV-2 IgM and IgG seroconversion profiles among hospitalized patients in two US cities	PMID:33388575	https://pubmed.ncbi.nlm.nih.gov/33388575/	NA	USA	USA	Longitudinal 	89	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	IgM|IgG|Day of seroconversion caught	NA	NA	NA	Survived|Deceased|Immune competent|Immune compromised	Structured
Comparison of three automatic chemiluminescent immunoassays for monitoring dynamic profile of SARS-CoV-2 IgG and IgM	PMID:33340166	https://pubmed.ncbi.nlm.nih.gov/33340166/	NA	China	CHN	Longitudinal 	54	NA	Laboratory	NA	NA	NA	NA	IgM|IgG 	NA	NA	NA	NA	Structured
COVID-19 in long-term care facilities in Brazil: serological survey in a post-outbreak setting	PMID:33533813	https://pubmed.ncbi.nlm.nih.gov/33533813/	NA	Brazil	BRA	Longitudinal 	209	White|Non white	Laboratory|Demographic	NA	NA	Age|Sex	NA	Katz index|Frail-BR index|Frail-NH index|Complexity of the Long Term Care Facility	NA	NA	NA	NA	Structured
Real-world evaluation of a novel technology for quantitative simultaneous antibody detection against multiple SARS-CoV-2 antigens in a cohort of patients presenting with COVID-19 syndrome	PMID:32638712	https://pubmed.ncbi.nlm.nih.gov/32638712/	NA	UK	GBR	Longitudinal 	74	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	IgM|IgA|IgG	NA	NA	NA	Death|Discharged	Structured
A Multiplex Microsphere IgG Assay for SARS-CoV-2 Using ACE2-Mediated Inhibition as a Surrogate for Neutralization	PMID:33139422	https://pubmed.ncbi.nlm.nih.gov/33052354/	NA	USA	USA|CHE	Longitudinal 	140	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	Spike Median fluorescent intensity (MFI)| Receptor Binding Domain (RBD) Median fluorescent intensity (MFI)|Nucleocapsid Median fluorescent intensity (MFI) 	Asthma|COPD|Diabetes|Hypertension|Obstructive sleep apnea|Coronary artery disease|Cerebrovascular disease|Immunodeficiency / Immunosuppression	NA	NA	NA	Structured
Inference of SARS-CoV-2 spike-binding neutralizing antibody titers in sera from hospitalized COVID-19 patients by using commercial enzyme and chemiluminescent immunoassays	PMID:33404891	https://pubmed.ncbi.nlm.nih.gov/33404891/	NA	Estonia	EST	Longitudinal	100	NA	Laboratory|Demographic	NA	Availability of leftover sera obtained for routine SARS-CoV-2 serological testing	Age|Sex	NA	C-Reactive Protein|Ferritin|Dimer-D|Lactose dehydrogenase|Interleukin-6|Total lymphocyte count	Arterial Hypertension|Chronic renal disease|Diabetes|Dyslipidemia|Ischemic cardiovascular disease|Myocardial infarction|Pulmonary disease|Tumor	NA	NA	NA	Structured
Assessment of Seroprevalence of SARS-CoV-2 and Risk Factors Associated With COVID-19 Infection Among Outpatients in Virginia	PMID:33555331	https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2776019	NA	USA	USA	Cross-sectional	4675	Hispanic|Non Hispanic	NA	NA	NA	Age|Sex	NA	NA	NA	NA	NA	NA	NA
Serological Profile of Children and Young Adults with at Least One SARS-CoV-2 Positive Cohabitant: An Observational Study	PMID:33557402	https://pubmed.ncbi.nlm.nih.gov/33557402/	ISRCTN91064601	Italy 	ITA	Longitudinal	84	NA	Laboratory|Demographic	NA	Age between 4 and 16 with at least one cohabitant who had been positive for SARS-CoV-2	Age|Sex	NA	IgM|IgG 	NA	NA	NA	NA	Structured 
Evolution of immune responses to SARS-CoV-2 in mild-moderate COVID-19	PMID:33608522	https://www.nature.com/articles/s41467-021-21444-5	NA	Australia	AUS	Longtitudinal 	64	NA	Laboratory|Demographic	NA	NA	NA	NA	IgM|IgG |IgA	NA	NA	NA	NA	Structured 
A novel highly quantitative and reproducible assay for the detection of anti-SARS-CoV-2 IgG and IgM antibodies	PMID:33664294	https://www.nature.com/articles/s41598-021-84387-3	NA	Japan	JPN	Longitudinal	500	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	N-IgG|S-IgG|N-IgM|S-IgM	NA	NA	NA	NA	Structured
SARS-CoV-2 Infections and Serologic Responses Among Military Personnel Deployed on the USNS COMFORT to New York City During the COVID-19 Pandemic	PMID:33553482	https://academic.oup.com/ofid/article/8/2/ofaa654/6116757	NA	USA	USA|CHE	Longitudinal	432	Black|White|Hispanic|Other	Laboratory	NA	NA	NA	NA	Spike IgG|Spike IgM|RBD IgG	NA	NA	NA	NA	Structured 
Robust correlations across six SARS-CoV-2 serology assays detecting distinct antibody features	PMID:33680466	https://onlinelibrary.wiley.com/doi/full/10.1002/cti2.1258	NA	NA	NA	Longitudinal 	15	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	Receptor Binding Domain IgM |Spike IgG|Spike IgA|Nucleocapsid IgG	NA	NA	NA	NA	Structured
Proinflammatory IgG Fc structures in patients with severe COVID-19	PMID:33169014	https://www.nature.com/articles/s41590-020-00828-7	NA	USA	USA	Longitudinal 	43	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	IgM|IgA|IgG	NA	NA	NA	NA	Structured 
Viral dynamics and immune correlates of COVID-19 disease severity	PMID:32856707	https://pubmed.ncbi.nlm.nih.gov/32856707/	NA	China	CHN	Longitudinal 	100	Chinese	Laboratory|Demographic|Clinical	NA	Patients confirmed to have COVID-19 by SARS-CoV-2 (RT-PCR) and admitted to any of seven public hospitals in Singapore	Age|Sex	Temperature|Respiratory rate|Heart rate|Systolic blood pressure|Pulse oximeter oxygen saturation	Haemoglobin|Platelet|Lymphocyte|Neutrophil|C-Reactive Protein|Lactate dehydrogenase|Creatinine|Alanine transferase|PCR Ct value at diagnosis	Diabetes|Hypertension	NA	NA	NA	Structured 
Mapping Neutralizing and Immunodominant Sites on the SARS-CoV-2 Spike Receptor-Binding Domain by Structure-Guided High-Resolution Serology	PMID:32991844	https://www.sciencedirect.com/science/article/abs/pii/S0092867420312344	NA	Italy|Switzerland|US	ITA|CHE|USA	Longitudinal 	647	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	Serum IgG binding to S|Serum IgG binding to RBD|Serum IgG binding to N 	NA	NA	NA	NA	Structured
SARS-CoV-2 seroprevalence among parturient women in Philadelphia	PMID:32727884	https://immunology.sciencemag.org/content/5/49/eabd5709	NA	USA	USA	Longitudinal	1293	Black/Non-Hispanic|White/Non-Hispanic|Hispanic/Latino|Asian|Other/Unknown	Laboratory|Demographic	NA	NA	Age |Sex	NA	IgG|IgM  	Obesity|Diabetes|Hypertension|Diabetes|Asthma	NA	NA	NA	Structured 
Analysis of Serologic Cross-Reactivity Between Common Human Coronaviruses and SARS-CoV-2 Using Coronavirus Antigen Microarray	PMID:32511324	https://www.biorxiv.org/content/10.1101/2020.03.24.006544v1	NA	USA	USA	Longitudinal 	NA	NA	Laboratory	NA	NA	NA	NA	IgG  	NA	NA	NA	NA	Structured 
Competitive SARS-CoV-2 Serology Reveals Most Antibodies Targeting the Spike Receptor-Binding Domain Compete for ACE2 Binding	PMID:32938700	https://msphere.asm.org/content/5/5/e00802-20	NA	USA	USA	Longitudinal 	NA	NA	NA	NA	NA	NA	NA	RBD-biotin|RBD-hFc| RBD-mFc	NA	NA	NA	NA	Unstructured
Testing IgG antibodies against the RBD of SARS-CoV-2 is sufficient and necessary for COVID-19 diagnosis	PMID:33227020	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7682882/	NA	Israel	ISR	Longitudinal 	309	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	IgM|IgG|IgA	NA	NA	NA	NA	Structured
Serological Responses to Human Virome Define Clinical Outcomes of Italian Patients Infected with SARS-CoV-2	PMID:32908997	https://www.medrxiv.org/content/10.1101/2020.09.04.20187088v1	NA	USA	USA	Longitudinal 	159	NA	Laboratory	NA	Patients without asymptomatic individuals or patients with mild symptoms infected with SARS-CoV-2	Age|Sex	NA	NA	NA	NA	NA	Alive|Dead	Structured
Biodistribution and serologic response in SARS-CoV-2 induced ARDS: A cohort study	PMID:33232382	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0242917	NA	Germany	DEU	Longitudinal 	23	NA	Laboratory|Demographic	NA	Age greater than equal to 18 with a confirmed diagnosis of COVID-19	Age|Sex|BMI	NA	PaO2/FiO2|Extracorporeal membrane oxygenation(ECMO)	Chronic obstructive pulmonary disease|Arterial hypertension|Coronary artery disease|Diabetes mellitus|Chronic renal insufficiency	NA	NA	NA	Structured
An Original ELISA-Based Multiplex Method for the Simultaneous Detection of 5 SARS-CoV-2 IgG Antibodies Directed against Different Antigens	PMID:33233405	https://pubmed.ncbi.nlm.nih.gov/33233405/	NA	Belgium	BEL	Longitudinal 	94	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	N-directed IgG|S1-directed IgG|S2-directed IgG|RBD-directed IgG	NA	NA	NA	NA	Structured
Coronavirus Occurrence in the HIVE Cohort of Michigan Households: Reinfection frequency and serologic responses to seasonal and SARS coronaviruses	PMID:33755731	https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab161/6184123	NA	USA	USA|CHE	Longitudinal 	3418	NA	Laboratory	NA	NA	Age	NA	NA	NA	NA	NA	NA	NA
Different longitudinal patterns of nucleic acid and serology testing results based on disease severity of COVID-19 patients	PMID:32306864	https://pubmed.ncbi.nlm.nih.gov/32306864/	NA	China	CHN	Longitudinal 	21	NA	Laboratory|Demographic	NA	NA	Age|Sex	NA	Anti SARS-CoV-2 IgG|Anti SARS-CoV-2 IgM	NA	NA	NA	NA	Structured
Clinical outcomes and serologic response in solid organ transplant recipients with COVID-19: A case series from the United States	PMID:32476258	https://pubmed.ncbi.nlm.nih.gov/32476258/	NA	USA	USA	Longitudinal 	9	Black|Latino|Asian|NH/PI|White	Laboratory|Demographic|Clinical	NA	NA	Age|Sex|BMI	Temperature 	WBC count|Lymphocyte|Platelets|Creatinine|Aspartate aminotransferase|Alanine aminotransferase|Troponin|C-Reactive Protein|Lactate dehydrogenase|Procalcitonin|D-Dimer	Cerebrovascular disease|Continuous renal replacement therapy|Deceased donor renal transplant|Diabetes mellitus|Ground-glass opacities|Hyperlipedimia|Hypertension|Asthma|Dementia|Hypothyroid|Sarcoidosis|Gout|Heart failure with reduced ejection fraction|Upper respiratory symptoms|Rheumatoid arthritis                                                 	Hydroxychloroquine|Lopinavir/ritonavir|	CT scan	Discharged ICU|Discharged hospital|Died	Structured 
Longitudinal characterization of the IgM and IgG humoral response in symptomatic COVID-19 patients using the Abbott Architect	PMID:33161369	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7590643/	NA	USA	USA	Longitudinal 	427	NA	Laboratory|Demographic	NA	NA	Age 	NA	IgM|IgG 	NA	NA	NA	NA	Structured
